rollrange,pitchrange,yawrange,rollspeedrange,pitchspeedrange,yawspeedrange,airspeedrange,throttlerange,climbrange,phase,distance meaning,GPS_status,Gyro_status,Accel_status,Baro_status
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,no change,1,1,1,1
roll between(-0.25 and 0.22),pitch between -0.3 and 0.16,yaw between -3.1 and -3.04,rollspeed between -1.14 and 1.07,pitchspeed between -0.22 and 0.2,yawspeed between -0.81 and 0.79,airspeed between 0.1 and 7.05,throttle between 31 and 100,climb between -1.1 and 1.6,ON MISSION,further,1,1,1,1
